
Mon Feb 17 16:40:21 2014-->Sockets binded successfully..
Mon Feb 17 16:40:21 2014-->Robot socket at port : 51000.
Mon Feb 17 16:40:21 2014-->Client socket at port : 56000.
Mon Feb 17 16:40:21 2014-->Browser socket at port : 61000.
Mon Feb 17 16:40:21 2014-->Client-IP-only socket at port : 65000.
Mon Feb 17 16:40:21 2014-->Listening for incoming connections..
Mon Feb 17 16:40:21 2014-->Server started..
Mon Feb 17 16:40:21 2014-->Server status file : OPENED..
Mon Feb 17 16:40:21 2014-->Status log file name : /home/robotics/Desktop/gitWebServer/corobot-web/WebServer/serverCode/serverStatusLog-2014-02-17::16:40.txt.
Mon Feb 17 16:40:21 2014-->	Welcome to corobotics server..
Mon Feb 17 16:40:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:40:21 2014-->No robots to clean..
Mon Feb 17 16:40:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:40:36 2014-->No robots to clean..
Mon Feb 17 16:40:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:40:51 2014-->No robots to clean..
Mon Feb 17 16:41:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:41:06 2014-->No robots to clean..
Mon Feb 17 16:41:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:41:21 2014-->No robots to clean..
Mon Feb 17 16:41:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:41:36 2014-->No robots to clean..
Mon Feb 17 16:41:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:41:51 2014-->No robots to clean..
Mon Feb 17 16:42:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:42:06 2014-->No robots to clean..
Mon Feb 17 16:42:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:42:21 2014-->No robots to clean..
Mon Feb 17 16:42:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:42:36 2014-->No robots to clean..
Mon Feb 17 16:42:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:42:51 2014-->No robots to clean..
Mon Feb 17 16:43:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:43:06 2014-->No robots to clean..
Mon Feb 17 16:43:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:43:21 2014-->No robots to clean..
Mon Feb 17 16:43:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:43:36 2014-->No robots to clean..
Mon Feb 17 16:43:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:43:51 2014-->No robots to clean..
Mon Feb 17 16:44:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:44:06 2014-->No robots to clean..
Mon Feb 17 16:44:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:44:21 2014-->No robots to clean..
Mon Feb 17 16:44:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:44:36 2014-->No robots to clean..
Mon Feb 17 16:44:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:44:51 2014-->No robots to clean..
Mon Feb 17 16:45:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:45:06 2014-->No robots to clean..
Mon Feb 17 16:45:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:45:21 2014-->No robots to clean..
Mon Feb 17 16:45:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:45:36 2014-->No robots to clean..
Mon Feb 17 16:45:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:45:51 2014-->No robots to clean..
Mon Feb 17 16:46:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:46:06 2014-->No robots to clean..
Mon Feb 17 16:46:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:46:21 2014-->No robots to clean..
Mon Feb 17 16:46:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:46:36 2014-->No robots to clean..
Mon Feb 17 16:46:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:46:51 2014-->No robots to clean..
Mon Feb 17 16:47:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:47:06 2014-->No robots to clean..
Mon Feb 17 16:47:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:47:21 2014-->No robots to clean..
Mon Feb 17 16:47:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:47:36 2014-->No robots to clean..
Mon Feb 17 16:47:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:47:51 2014-->No robots to clean..
Mon Feb 17 16:48:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:48:06 2014-->No robots to clean..
Mon Feb 17 16:48:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:48:21 2014-->No robots to clean..
Mon Feb 17 16:48:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:48:36 2014-->No robots to clean..
Mon Feb 17 16:48:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:48:51 2014-->No robots to clean..
Mon Feb 17 16:49:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:49:06 2014-->No robots to clean..
Mon Feb 17 16:49:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:49:21 2014-->No robots to clean..
Mon Feb 17 16:49:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:49:36 2014-->No robots to clean..
Mon Feb 17 16:49:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:49:51 2014-->No robots to clean..
Mon Feb 17 16:50:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:50:06 2014-->No robots to clean..
Mon Feb 17 16:50:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:50:21 2014-->No robots to clean..
Mon Feb 17 16:50:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:50:36 2014-->No robots to clean..
Mon Feb 17 16:50:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:50:51 2014-->No robots to clean..
Mon Feb 17 16:51:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:51:06 2014-->No robots to clean..
Mon Feb 17 16:51:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:51:21 2014-->No robots to clean..
Mon Feb 17 16:51:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:51:36 2014-->No robots to clean..
Mon Feb 17 16:51:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:51:51 2014-->No robots to clean..
Mon Feb 17 16:52:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:52:06 2014-->No robots to clean..
Mon Feb 17 16:52:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:52:21 2014-->No robots to clean..
Mon Feb 17 16:52:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:52:36 2014-->No robots to clean..
Mon Feb 17 16:52:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:52:51 2014-->No robots to clean..
Mon Feb 17 16:53:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:53:06 2014-->No robots to clean..
Mon Feb 17 16:53:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:53:21 2014-->No robots to clean..
Mon Feb 17 16:53:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:53:36 2014-->No robots to clean..
Mon Feb 17 16:53:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:53:51 2014-->No robots to clean..
Mon Feb 17 16:54:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:54:06 2014-->No robots to clean..
Mon Feb 17 16:54:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:54:21 2014-->No robots to clean..
Mon Feb 17 16:54:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:54:36 2014-->No robots to clean..
Mon Feb 17 16:54:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:54:51 2014-->No robots to clean..
Mon Feb 17 16:55:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:55:06 2014-->No robots to clean..
Mon Feb 17 16:55:21 2014-->Trying to cleanup robots..
Mon Feb 17 16:55:21 2014-->No robots to clean..
Mon Feb 17 16:55:36 2014-->Trying to cleanup robots..
Mon Feb 17 16:55:36 2014-->No robots to clean..
Mon Feb 17 16:55:51 2014-->Trying to cleanup robots..
Mon Feb 17 16:55:51 2014-->No robots to clean..
Mon Feb 17 16:56:06 2014-->Trying to cleanup robots..
Mon Feb 17 16:56:06 2014-->No robots to clean..
