
Fri Mar 14 16:13:02 2014-->Sockets binded successfully..
Fri Mar 14 16:13:02 2014-->Robot socket at port : 51000.
Fri Mar 14 16:13:02 2014-->Client socket at port : 56000.
Fri Mar 14 16:13:02 2014-->Browser socket at port : 61000.
Fri Mar 14 16:13:02 2014-->Client-IP-only socket at port : 65000.
Fri Mar 14 16:13:02 2014-->Listening for incoming connections..
Fri Mar 14 16:13:02 2014-->Server started..
Fri Mar 14 16:13:02 2014-->Server status file : OPENED..
Fri Mar 14 16:13:02 2014-->Status log file name : /home/robotics/Desktop/gitWebServer/corobot-web/WebServer/serverCode/serverStatusLog-2014-03-14::16:13.txt.
Fri Mar 14 16:13:02 2014-->	Welcome to corobotics server..
Fri Mar 14 16:13:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:13:02 2014-->No robots to clean..
Fri Mar 14 16:13:12 2014-->Sending Robots' information to browser::IP (129.21.30.80:36970)..
Fri Mar 14 16:13:12 2014-->No robots availble. None string sent to browser::IP (129.21.30.80:36970). Closing connection!.
Fri Mar 14 16:13:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:13:17 2014-->No robots to clean..
Fri Mar 14 16:13:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:13:32 2014-->No robots to clean..
Fri Mar 14 16:13:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:13:47 2014-->No robots to clean..
Fri Mar 14 16:14:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:14:02 2014-->No robots to clean..
Fri Mar 14 16:14:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:14:17 2014-->No robots to clean..
Fri Mar 14 16:14:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:14:32 2014-->No robots to clean..
Fri Mar 14 16:14:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:14:47 2014-->No robots to clean..
Fri Mar 14 16:15:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:15:02 2014-->No robots to clean..
Fri Mar 14 16:15:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:15:17 2014-->No robots to clean..
Fri Mar 14 16:15:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:15:32 2014-->No robots to clean..
Fri Mar 14 16:15:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:15:47 2014-->No robots to clean..
Fri Mar 14 16:16:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:16:02 2014-->No robots to clean..
Fri Mar 14 16:16:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:16:17 2014-->No robots to clean..
Fri Mar 14 16:16:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:16:32 2014-->No robots to clean..
Fri Mar 14 16:16:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:16:47 2014-->No robots to clean..
Fri Mar 14 16:17:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:17:02 2014-->No robots to clean..
Fri Mar 14 16:17:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:17:17 2014-->No robots to clean..
Fri Mar 14 16:17:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:17:32 2014-->No robots to clean..
Fri Mar 14 16:17:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:17:47 2014-->No robots to clean..
Fri Mar 14 16:18:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:18:02 2014-->No robots to clean..
Fri Mar 14 16:18:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:18:17 2014-->No robots to clean..
Fri Mar 14 16:18:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:18:32 2014-->No robots to clean..
Fri Mar 14 16:18:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:18:47 2014-->No robots to clean..
Fri Mar 14 16:19:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:19:02 2014-->No robots to clean..
Fri Mar 14 16:19:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:19:17 2014-->No robots to clean..
Fri Mar 14 16:19:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:19:32 2014-->No robots to clean..
Fri Mar 14 16:19:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:19:47 2014-->No robots to clean..
Fri Mar 14 16:20:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:20:02 2014-->No robots to clean..
Fri Mar 14 16:20:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:20:17 2014-->No robots to clean..
Fri Mar 14 16:20:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:20:32 2014-->No robots to clean..
Fri Mar 14 16:20:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:20:47 2014-->No robots to clean..
Fri Mar 14 16:21:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:21:02 2014-->No robots to clean..
Fri Mar 14 16:21:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:21:17 2014-->No robots to clean..
Fri Mar 14 16:21:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:21:32 2014-->No robots to clean..
Fri Mar 14 16:21:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:21:47 2014-->No robots to clean..
Fri Mar 14 16:22:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:22:02 2014-->No robots to clean..
Fri Mar 14 16:22:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:22:17 2014-->No robots to clean..
Fri Mar 14 16:22:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:22:32 2014-->No robots to clean..
Fri Mar 14 16:22:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:22:47 2014-->No robots to clean..
Fri Mar 14 16:23:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:23:02 2014-->No robots to clean..
Fri Mar 14 16:23:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:23:17 2014-->No robots to clean..
Fri Mar 14 16:23:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:23:32 2014-->No robots to clean..
Fri Mar 14 16:23:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:23:47 2014-->No robots to clean..
Fri Mar 14 16:24:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:24:02 2014-->No robots to clean..
Fri Mar 14 16:24:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:24:17 2014-->No robots to clean..
Fri Mar 14 16:24:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:24:32 2014-->No robots to clean..
Fri Mar 14 16:24:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:24:47 2014-->No robots to clean..
Fri Mar 14 16:25:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:25:02 2014-->No robots to clean..
Fri Mar 14 16:25:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:25:17 2014-->No robots to clean..
Fri Mar 14 16:25:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:25:32 2014-->No robots to clean..
Fri Mar 14 16:25:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:25:47 2014-->No robots to clean..
Fri Mar 14 16:26:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:26:02 2014-->No robots to clean..
Fri Mar 14 16:26:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:26:17 2014-->No robots to clean..
Fri Mar 14 16:26:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:26:32 2014-->No robots to clean..
Fri Mar 14 16:26:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:26:47 2014-->No robots to clean..
Fri Mar 14 16:27:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:27:02 2014-->No robots to clean..
Fri Mar 14 16:27:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:27:17 2014-->No robots to clean..
Fri Mar 14 16:27:32 2014-->Trying to cleanup robots..
Fri Mar 14 16:27:32 2014-->No robots to clean..
Fri Mar 14 16:27:47 2014-->Trying to cleanup robots..
Fri Mar 14 16:27:47 2014-->No robots to clean..
Fri Mar 14 16:28:02 2014-->Trying to cleanup robots..
Fri Mar 14 16:28:02 2014-->No robots to clean..
Fri Mar 14 16:28:17 2014-->Trying to cleanup robots..
Fri Mar 14 16:28:17 2014-->No robots to clean..
Fri Mar 14 16:28:32 2014-->Trying to cleanup robots..
